veh,nRIDES,nREJECTED,DRIVING_TIME,DRIVING_DIST,COMMISSION,REVENUE,COST,NET_INCOME,OUT,STARTS_DAY,OPENS_APP,RECEIVES_REQUEST,ACCEPTS_REQUEST,REJECTS_REQUEST,IS_ACCEPTED_BY_TRAVELLER,IS_REJECTED_BY_TRAVELLER,ARRIVES_AT_PICKUP,MEETS_TRAVELLER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,CONTINUES_SHIFT,STARTS_REPOSITIONING,REPOSITIONED,DECIDES_NOT_TO_DRIVE,ENDS_SHIFT,worked_days,experienced,perc_income,learned,util_d,util_nd,prob_d,drive_decision,day
1,8.0,0.0,2597.0,25.97,4.01086,36.097739999999995,6.4925,29.605239999999995,False,0,1126.0,75.0,83.0,0,340.0,0,17.0,240.0,2257.0,17461.0,0,0,0,0,0,0,False,40.46740413867819,False,4.046740413867819,5.132956827735639,0.25233142167451666,out,0
2,9.0,0.0,3364.0,33.64,4.431419999999999,39.88278,8.41,31.472779999999997,False,0,4079.0,135.0,162.0,0,775.0,0,18.0,270.0,2589.0,13571.0,0,0,0,0,0,0,False,30.495735579913955,False,3.049573557991396,2.9518691159827917,0.5244066977411779,out,0
3,7.0,0.0,3002.0,30.02,3.6678599999999997,33.01074,7.505,25.50574,False,0,3088.0,105.0,140.0,0,852.0,0,0.0,210.0,2150.0,15054.0,0,0,0,0,0,0,False,31.493838112034766,False,3.1493838112034767,3.748193622406953,0.35461603739495073,drive,0
4,13.0,0.0,4261.0,42.61,6.0197199999999995,54.177479999999996,10.6525,43.52498,False,0,1026.0,150.0,188.0,0,928.0,0,12.0,390.0,3333.0,15572.0,0,0,0,0,0,0,False,48.358754631908994,False,4.8358754631909,5.3192529263818,0.38145490428481427,out,0
5,8.0,0.0,3447.0,34.47,4.4611,40.149899999999995,8.6175,31.532399999999996,False,0,387.0,105.0,140.0,0,769.0,0,0.0,240.0,2678.0,17280.0,0,0,0,0,0,0,False,40.59591556255678,False,4.059591556255678,4.965943112511357,0.28774700149342086,drive,0
6,7.0,0.0,3007.0,30.07,4.00316,36.028439999999996,7.5175,28.510939999999998,False,0,1671.0,90.0,120.0,0,640.0,0,0.0,210.0,2367.0,16501.0,0,0,0,0,0,0,False,36.956400791579995,False,3.6956400791579997,4.540186158315999,0.30057819190480556,drive,0
7,14.0,0.0,5724.0,57.24,7.867020000000001,70.80318000000001,14.31,56.49318000000001,False,0,696.0,180.0,228.0,0,952.0,0,12.0,420.0,4772.0,14339.0,0,0,0,0,0,0,False,49.24553490960504,False,4.924553490960505,4.199788981921007,0.6736553303380175,drive,0
8,7.0,0.0,3613.0,36.13,4.491479999999999,40.42332,9.0325,31.390819999999998,False,0,515.0,105.0,140.0,0,1007.0,0,0.0,210.0,2606.0,17016.0,0,0,0,0,0,0,False,35.10440644296747,False,3.5104406442967475,3.8817992885934958,0.40821276604535955,drive,0
9,12.0,0.0,3887.0,38.87,5.4369000000000005,48.9321,9.7175,39.2146,False,0,3525.0,120.0,160.0,0,865.0,0,0.0,360.0,3022.0,13547.0,0,0,0,0,0,0,False,29.18431532200566,False,2.9184315322005663,1.9154030644011322,0.7316535947194692,drive,0
10,11.0,0.0,3693.0,36.93,5.665379999999999,50.98841999999999,9.2325,41.75591999999999,False,0,106.0,135.0,180.0,0,763.0,0,0.0,330.0,2930.0,17155.0,0,0,0,0,0,0,False,40.845570806194495,False,4.08455708061945,3.9935221612389,0.5227430253841246,out,0
11,5.0,0.0,1879.0,18.79,2.39064,21.51576,4.6975,16.818260000000002,False,0,401.0,60.0,80.0,0,442.0,0,0.0,150.0,1437.0,19029.0,0,0,0,0,0,0,False,36.196845654869115,False,3.619684565486912,5.557543130973823,0.1258833041799286,out,0
12,10.0,0.0,4139.0,41.39,5.249019999999999,47.24117999999999,10.3475,36.89367999999999,False,0,648.0,120.0,160.0,0,1000.0,0,0.0,300.0,3139.0,16232.0,0,0,0,0,0,0,False,34.286493090190355,False,3.4286493090190358,3.167930618038072,0.5648129537508253,drive,0
13,13.0,0.0,4063.0,40.63,6.153839999999999,55.38455999999999,10.1575,45.227059999999994,False,0,50.0,120.0,150.0,0,701.0,0,10.0,390.0,3362.0,16816.0,0,0,0,0,0,0,False,46.45980968378818,False,4.645980968378818,4.769255936757637,0.46922022732958624,out,0
14,6.0,0.0,1854.0,18.54,2.92502,26.32518,4.635,21.690179999999998,False,0,1115.0,60.0,77.0,0,274.0,0,3.0,180.0,1580.0,18310.0,0,0,0,0,0,0,False,24.428430237844964,False,2.4428430237844965,2.716668047568993,0.43196829934152875,out,0
15,6.0,0.0,2494.0,24.94,3.3310199999999996,29.979179999999996,6.235,23.744179999999997,False,0,177.0,75.0,100.0,0,393.0,0,0.0,180.0,2101.0,18573.0,0,0,0,0,0,0,False,26.508560005768537,False,2.6508560005768538,2.927294001153708,0.4313272631347481,drive,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,21599.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,False,21.952179450450743,False,2.195217945045074,4.390435890090148,0.1001807419185836,out,0
17,8.0,0.0,2669.0,26.69,4.1692,37.522800000000004,6.6725,30.850300000000004,False,0,1784.0,105.0,140.0,0,441.0,0,0.0,240.0,2228.0,16661.0,0,0,0,0,0,0,False,53.141842200034844,False,5.314184220003485,7.543338440006969,0.09716280939224176,drive,0
18,11.0,0.0,4105.0,41.050000000000004,5.90226,53.12034,10.262500000000001,42.857839999999996,False,0,2276.0,135.0,180.0,0,809.0,0,0.0,330.0,3296.0,14573.0,0,0,0,0,0,0,False,44.64416183681824,False,4.464416183681824,4.64304836736365,0.4554603275371195,out,0
19,4.0,0.0,1577.0,15.77,1.91268,17.21412,3.9425,13.271620000000002,False,0,4516.0,60.0,80.0,0,372.0,0,0.0,120.0,1205.0,15246.0,0,0,0,0,0,0,False,33.044904359914675,False,3.3044904359914677,5.281818871982935,0.12160391639386581,out,0
20,6.0,0.0,2732.0,27.32,3.6925,33.2325,6.83,26.402500000000003,False,0,70.0,75.0,89.0,0,412.0,0,11.0,180.0,2320.0,18442.0,0,0,0,0,0,0,False,30.01793475251924,False,3.001793475251924,3.3633369505038475,0.4105859855231043,drive,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,False,40.46740413867819,False,4.046740413867819,5.132956827735639,0.25233142167451666,drive,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,False,30.495735579913955,False,3.049573557991396,2.9518691159827917,0.5244066977411779,out,1
3,16.0,0.0,6944.0,69.44,7.146160000000001,64.31544000000001,17.36,46.95544000000001,False,0,1026.0,192.0,251.0,0,2926.0,0,9.0,480.0,4018.0,12697.0,0,0,0,0,0,1,False,39.22463905601739,False,3.922463905601739,3.748193622406953,0.543457641903892,drive,1
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,False,48.358754631908994,False,4.8358754631909,5.3192529263818,0.38145490428481427,drive,1
5,15.0,0.0,6613.0,66.13,7.711759999999998,69.40583999999998,16.5325,52.873339999999985,False,0,401.0,195.0,260.0,0,2537.0,0,0.0,450.0,4076.0,13680.0,0,0,0,0,0,1,False,46.734627781278384,False,4.673462778127838,4.965943112511357,0.42739674887196016,out,1
6,18.0,0.0,8171.0,81.71000000000001,9.26128,83.35152,20.427500000000002,62.92401999999999,False,0,1552.0,225.0,291.0,0,2665.0,0,9.0,540.0,5506.0,10811.0,0,0,0,0,0,1,False,49.94021039578999,False,4.994021039579,4.540186158315999,0.6115506235208092,out,1
