,fleet,fare,revenue,repl
0,5,0.6,10237.0,0
1,5,0.8,12852.0,0
2,5,1.0,9665.0,0
3,5,1.2,8311.0,0
4,5,1.4,11661.0,0
5,10,0.6,21770.0,0
6,10,0.8,17194.0,0
7,10,1.0,22160.0,0
8,10,1.2,17062.0,0
9,10,1.4,15685.0,0
10,15,0.6,16393.0,0
11,15,0.8,23555.0,0
12,15,1.0,28895.0,0
13,15,1.2,23300.0,0
14,15,1.4,15820.0,0
15,20,0.6,27139.0,0
16,20,0.8,28352.0,0
17,20,1.0,21449.0,0
18,20,1.2,28668.0,0
19,20,1.4,25364.0,0
20,25,0.6,30609.0,0
21,25,0.8,28819.0,0
22,25,1.0,29860.0,0
23,25,1.2,27191.0,0
24,25,1.4,25714.0,0
25,30,0.6,38403.0,0
26,30,0.8,29333.0,0
27,30,1.0,30208.0,0
28,30,1.2,28045.0,0
29,30,1.4,26010.0,0
30,40,0.6,36010.0,0
31,40,0.8,36922.0,0
32,40,1.0,36746.0,0
33,40,1.2,29676.0,0
34,40,1.4,31008.0,0
35,5,0.6,10012.0,1
36,5,0.8,11128.0,1
37,5,1.0,9885.0,1
38,5,1.2,7822.0,1
39,5,1.4,8460.0,1
40,10,0.6,20806.0,1
41,10,0.8,19697.0,1
42,10,1.0,17102.0,1
43,10,1.2,18064.0,1
44,10,1.4,17091.0,1
45,15,0.6,27407.0,1
46,15,0.8,25813.0,1
47,15,1.0,25359.0,1
48,15,1.2,26493.0,1
49,15,1.4,20946.0,1
50,20,0.6,28259.0,1
51,20,0.8,24909.0,1
52,20,1.0,26575.0,1
53,20,1.2,28355.0,1
54,20,1.4,25588.0,1
55,25,0.6,27740.0,1
56,25,0.8,30032.0,1
57,25,1.0,28870.0,1
58,25,1.2,29003.0,1
59,25,1.4,32330.0,1
60,30,0.6,32368.0,1
61,30,0.8,29659.0,1
62,30,1.0,34666.0,1
63,30,1.2,29183.0,1
64,30,1.4,28643.0,1
65,40,0.6,31575.0,1
66,40,0.8,33527.0,1
67,40,1.0,32864.0,1
68,40,1.2,29007.0,1
69,40,1.4,31575.0,1
70,5,0.6,10305.0,2
71,5,0.8,9595.0,2
72,5,1.0,10723.0,2
73,5,1.2,9933.0,2
74,5,1.4,8082.0,2
75,10,0.6,20075.0,2
76,10,0.8,17138.0,2
77,10,1.0,21097.0,2
78,10,1.2,19115.0,2
79,10,1.4,13242.0,2
80,15,0.6,27321.0,2
81,15,0.8,24318.0,2
82,15,1.0,23030.0,2
83,15,1.2,21295.0,2
84,15,1.4,17498.0,2
85,20,0.6,27331.0,2
86,20,0.8,27528.0,2
87,20,1.0,26217.0,2
88,20,1.2,32683.0,2
89,20,1.4,19679.0,2
90,25,0.6,29463.0,2
91,25,0.8,31595.0,2
92,25,1.0,32628.0,2
93,25,1.2,31373.0,2
94,25,1.4,31416.0,2
95,30,0.6,34778.0,2
96,30,0.8,28105.0,2
97,30,1.0,31880.0,2
98,30,1.2,25812.0,2
99,30,1.4,27002.0,2
100,40,0.6,39285.0,2
101,40,0.8,34682.0,2
102,40,1.0,32718.0,2
103,40,1.2,33704.0,2
104,40,1.4,30449.0,2
105,5,0.6,13361.0,3
106,5,0.8,10919.0,3
107,5,1.0,9827.0,3
108,5,1.2,11603.0,3
109,5,1.4,7510.0,3
110,10,0.6,17177.0,3
111,10,0.8,18913.0,3
112,10,1.0,19198.0,3
113,10,1.2,17847.0,3
114,10,1.4,15995.0,3
115,15,0.6,26607.0,3
116,15,0.8,25579.0,3
117,15,1.0,20869.0,3
118,15,1.2,23086.0,3
119,15,1.4,20425.0,3
120,20,0.6,30205.0,3
121,20,0.8,27893.0,3
122,20,1.0,23184.0,3
123,20,1.2,23284.0,3
124,20,1.4,20823.0,3
125,25,0.6,34607.0,3
126,25,0.8,29951.0,3
127,25,1.0,26603.0,3
128,25,1.2,28621.0,3
129,25,1.4,28516.0,3
130,30,0.6,29436.0,3
131,30,0.8,30869.0,3
132,30,1.0,32484.0,3
133,30,1.2,26925.0,3
134,30,1.4,32321.0,3
135,40,0.6,36370.0,3
136,40,0.8,38498.0,3
137,40,1.0,33865.0,3
138,40,1.2,37515.0,3
139,40,1.4,30521.0,3
140,5,0.6,10974.0,4
141,5,0.8,10710.0,4
142,5,1.0,9323.0,4
143,5,1.2,9334.0,4
144,5,1.4,9538.0,4
145,10,0.6,20318.0,4
146,10,0.8,19050.0,4
147,10,1.0,18851.0,4
148,10,1.2,15800.0,4
149,10,1.4,15889.0,4
150,15,0.6,26172.0,4
