,index,day,nP,nV,comm rate,discount,n trav,n drivers,fare,commision,revenue,income,mean wait rh,mean wait rp,mean travel rp,mean income,mean expected wait rh,mean expected wait rp,mean expected travel rp,mean expected income,mean prob rh,mean prob rs,n exp,learned rh,learned rp,learned,learned drivers,conv rp,conv rh,conv supply,shareability,n actually sharing,n shared rides,unserved,comm,shared,out,rh,rp,share out,share rh,share rp,share drivers,$c$,$p$,best_one
0,0,196.5,100,20,0.3,0.049999999999999996,15.666666666666666,0.6666666666666666,95.6641,35.23041666666666,11.1671,0.17293333333333236,349.43898809523813,359.2521825396825,370.80049603174604,0.3878499999999976,553.3196666666666,461.6749999999999,439.98600000000005,8.736967650070335,0.04670715992355944,0.1118850784504936,94.0,39.0,57.333333333333336,80.0,20.0,0.015988846682344755,0.0056082792299107335,0.0,0.0,0.0,0.0,6.333333333333333,0.3,0.049999999999999996,84.33333333333333,5.333333333333333,10.333333333333334,0.8433333333333333,0.05333333333333333,0.10333333333333333,0.03333333333333333,0.3,0.05,False
1,1,196.5,100,10,0.9,0.049999999999999996,22.0,2.0,134.31028333333333,27.706583333333324,75.0183,51.581633333333336,299.84333333333336,268.4872294372294,371.8115584415585,31.146037999999997,422.89616666666666,389.7181666666666,411.88241666666664,28.374295824388575,0.07390466219384677,0.15649783796893033,98.0,66.0,71.0,86.0,10.0,0.007243202807803817,0.0017180877163046693,0.0,0.0,0.0,0.0,5.333333333333333,0.9,0.049999999999999996,78.0,6.666666666666667,15.333333333333334,0.78,0.06666666666666667,0.15333333333333335,0.2,0.9,0.05,False
2,2,196.5,100,30,0.3,0.39999999999999997,23.166666666666668,0.5,106.48586666666665,36.68723333333333,18.251099999999997,2.188183333333333,386.51666666666665,418.4887445887445,430.1995670995671,2.2391333333333328,446.6987222222221,401.0299444444445,456.95061111111113,10.647306961595064,0.0630066055625032,0.13721269402253722,96.0,65.0,67.0,82.0,30.0,0.009071348093884567,0.002881947923346565,0.0,-0.017078374525831965,5.0,2.5,15.166666666666666,0.3,0.39999999999999997,76.83333333333333,6.166666666666667,17.0,0.7683333333333333,0.06166666666666667,0.17,0.016666666666666666,0.3,0.4,False
3,3,21.5,500,10,0.3,0.09999999999999999,14.666666666666666,0.6666666666666666,93.63783333333333,22.4329,7.9142,0.47169999999999934,339.5,243.4,422.9909090909091,0.707549999999999,820.1982722222223,847.0057555555555,789.7948944444444,18.232971328700202,0.011154369257371233,0.0185391695855773,25.666666666666668,6.666666666666667,10.5,487.0,7.666666666666667,0.09834788885574686,0.03705438353732563,0.0,0.0,0.0,0.0,10.0,0.3,0.09999999999999999,485.3333333333333,5.166666666666667,9.5,0.9706666666666667,0.010333333333333333,0.019,0.06666666666666667,0.3,0.1,False
4,4,196.5,700,30,0.3,0.19999999999999998,67.66666666666667,1.8333333333333333,373.4094,140.03243333333333,50.4693,4.306799999999995,428.55320767195764,416.7996922059422,370.74406033781037,2.40513055555555,618.8093055555555,587.4607738095239,553.533,12.715539219477568,0.03350813113385743,0.06516638371118647,559.1666666666666,243.0,278.3333333333333,628.6666666666666,30.0,0.01267967760971925,0.007913582607155202,0.0,0.036183441683916635,12.0,6.0,32.666666666666664,0.3,0.19999999999999998,632.3333333333334,23.833333333333332,43.833333333333336,0.9033333333333334,0.03404761904761905,0.06261904761904762,0.06111111111111111,0.3,0.2,False
5,5,196.5,500,20,1.0999999999999999,0.09999999999999999,228.5,15.833333333333334,1373.3948666666668,108.52426666666655,1265.6669666666667,979.6078000000001,150.2616871882194,150.16107388557631,361.7362994140653,61.66957424836602,150.09206666666668,148.1305,348.8439333333333,57.840414346774445,0.15963434056628503,0.29338438996125,500.0,492.1666666666667,500.0,499.0,0.0,4.772142247907544e-05,6.46653681053951e-05,0.0036050662559239,0.0026014966805208836,2.3333333333333335,1.1666666666666667,0.0,1.0999999999999999,0.09999999999999999,271.5,81.0,147.5,0.543,0.162,0.295,0.7916666666666667,1.1,0.1,False
6,6,196.5,300,30,1.0999999999999999,0.39999999999999997,143.0,14.833333333333334,676.5658666666667,-131.26703333333344,796.8447666666667,668.71435,117.56851432774204,115.5473128661696,466.1995228215105,46.00286368589744,129.2887222222222,127.08050000000001,445.45527777777767,43.6441801403065,0.1723552597014626,0.3094168873200333,300.0,299.0,300.0,299.0,13.0,0.0,0.0,0.006136890065006533,0.01374200314852155,78.83333333333333,39.333333333333336,0.0,1.0999999999999999,0.39999999999999997,157.0,52.5,90.5,0.5233333333333333,0.175,0.3016666666666667,0.49444444444444446,1.1,0.4,False
7,7,196.5,900,40,0.5,0.049999999999999996,171.83333333333334,5.333333333333333,1044.1268833333331,487.9235666666666,326.074,144.59775,394.0602652053926,391.180244640103,352.2474627806103,28.239853174603173,463.62599074074075,455.3729537037037,466.5126203703705,23.905336327226593,0.06950126505144534,0.12051753827334542,836.0,532.1666666666666,575.6666666666666,776.3333333333334,38.0,0.0024018515198665495,0.0013681668347514666,0.0016557571582538526,0.0,0.0,0.0,39.5,0.5,0.049999999999999996,728.1666666666666,62.166666666666664,109.66666666666667,0.8090740740740741,0.06907407407407407,0.12185185185185186,0.13333333333333333,0.5,0.05,False
8,8,187.5,300,60,0.5,0.3,97.5,7.0,504.41066666666666,250.8167666666666,229.28149999999997,123.46066666666667,239.87880579504056,237.31945484650316,414.3989139258517,18.717336144179896,302.9958888888889,279.43666666666667,430.32649999999995,18.99111475687811,0.10862385943150671,0.20413890539638538,300.0,251.83333333333334,267.0,269.6666666666667,60.0,0.0005454315676517442,0.00034144618137691725,0.0,0.05560916303612126,38.0,19.0,1.5,0.5,0.3,202.5,34.166666666666664,63.333333333333336,0.675,0.11388888888888889,0.2111111111111111,0.11666666666666667,0.5,0.3,False
9,9,196.5,300,20,0.9,0.19999999999999998,112.66666666666667,8.5,600.1697333333333,116.99659999999999,445.76700000000005,319.31741666666665,180.1320526109398,183.08742732037106,362.54471750835233,41.78029970899471,240.30020370370372,246.65640740740741,385.5745370370371,38.10787446009417,0.13415366899140976,0.23075404050491274,300.0,274.0,267.6666666666667,282.0,12.0,0.0013879008520107988,0.0003040401660050077,0.008140507478793984,0.03391101204791098,18.166666666666668,9.0,0.0,0.9,0.19999999999999998,187.33333333333334,37.166666666666664,75.5,0.6244444444444445,0.12388888888888888,0.25166666666666665,0.425,0.9,0.2,False
10,10,95.5,100,40,1.0999999999999999,0.3,39.333333333333336,8.166666666666666,202.77296666666666,-24.33503333333336,223.0253666666667,180.33995000000002,151.2395493395493,138.98068608793247,409.6113438965238,22.56576470238095,213.22750000000005,194.55549999999997,402.3233333333333,23.748330085063373,0.1314050989093735,0.25566555035918204,100.0,85.0,95.0,90.0,39.0,0.0019100958955978367,0.0002805154178055921,0.0003850241445924,0.01565972554055365,11.333333333333334,5.666666666666667,0.0,1.0999999999999999,0.3,60.666666666666664,11.0,28.333333333333332,0.6066666666666667,0.11,0.2833333333333333,0.20416666666666666,1.1,0.3,False
